1840;58
1738;528
1734;528
1728;528
319;528
1825;528
1995;528
1732;528
1744;528
1745;528
1735;528
1731;528
1736;528
1822;528
1838;528
1729;528
1826;528
1861;528
2000;528
1708;528
1781;528
6;528
1835;528
1741;528
1740;528
1737;528
1742;528
1746;528
1739;528
1733;528
1719;528
1730;528
1726;528
1819;284
1817;608
1865;689
1804;607
1748;610
1602;711
1750;668
1931;10
1934;125
1937;307
1936;86
1939;155
1961;330
1916;616
1944;135
1948;188
1951;53
1956;161
1957;335
1958;354
1959;78
1755;138
1832;14
1727;14
1979;442
1980;245
1981;278
1982;85
1796;352
1844;642
1984;272
1986;158
1987;578
1988;576
1989;503
1992;424
1994;222
8;270
1997;570
1998;36
1999;312
1743;428
2004;77
2007;76
2006;582
2018;403
1907;48
2028;48
2021;522
2024;25
2025;487
2026;456
2027;377
2030;157
2032;344
2034;586
1996;100
1904;38
1904;38
2035;209
2037;259
2038;470
1918;418
434;252
1720;319
1823;430
1909;33
165;461
1273;514
825;279
1843;107
1623;388
1301;274
1709;221
126;121
172;301
154;296
810;267
816;267
216;291
1785;439
1624;439
1778;255
211;527
137;213
235;672
1873;664
1863;499
1855;399
1779;174
1712;369
706;413
110;495
1800;168
1250;477
1866;132
502;108
174;266
1894;200
1786;459
1663;368
837;40
429;540
313;84
1238;589
1560;580
223;447
206;240
210;240
1680;371
1683;646
1332;648
1679;641
1343;624
1297;63
1860;594
1658;173
131;519
102;455
416;384
1814;696
1662;8
1747;525
1285;469
1833;566
1849;260
1859;579
2023;625
1725;34
815;7
2016;577
306;261
1267;162
1762;297
1801;595
1688;432
503;609
1797;201
205;290
1559;123
1751;289
1841;234
1665;215
1597;183
173;275
1240;94
1200;143
1991;143
1272;690
1598;177
1927;105
1299;552
1882;342
1869;563
500;643
1599;72
1675;265
300;554
1917;21
1790;306
1884;374
1334;141
2012;141
1890;494
1757;544
1809;138
1851;224
317;90
1571;211
1845;575
1900;593
112;500
1522;145
1830;129
1858;567
1292;350
1910;113
1220;286
1277;286
1557;598
1253;569
1630;96
1967;96
1341;165
1295;463
415;347
1270;308
1850;115
203;434
320;332
204;47
236;83
1888;443
308;4
1798;268
1565;568
218;568
220;568
221;568
222;568
1288;568
1761;568
224;568
228;568
229;568
231;568
234;568
233;568
213;669
214;697
219;667
225;715
217;438
1002;438
1287;438
1572;438
1811;656
1791;716
1902;676
1563;702
237;698
1671;564
1236;621
303;43
312;599
1618;475
1783;191
1920;192
1891;293
1207;185
843;364
1773;208
1600;414
1311;111
1229;22
1339;41
1839;101
1792;136
1857;136
1263;136
1722;573
1242;460
11;116
1784;431
1202;393
822;55
1570;74
155;404
140;281
1749;281
1203;678
1283;549
164;93
230;248
157;534
414;3
1265;126
1818;2
1854;97
1923;410
1924;709
1793;574
1820;147
1296;647
1209;381
1932;197
1580;575
2002;433
227;391
1;446
1947;597
1949;605
1946;216
1962;179
1752;620
2014;189
1928;292
1673;280
1883;496
1978;496
1942;333
2031;483
1941;386
1974;71
1929;198
1316;207
2029;408
1985;150
1976;485
1938;402
2019;366
2005;515
1975;233
2001;440
1993;202
1955;361
1940;363
1933;11
1983;380
2040;412
1950;502
1921;521
1963;661
1943;194
2017;49
2015;378
2003;326
1990;400
1805;92
1930;370
307;423
2039;170
2009;242
2008;242
2011;56
2010;56
2020;276
1315;419
1970;238
1627;238
1632;250
1965;250
1966;340
1636;340
1685;321
1686;325
1639;405
807;556
814;556
803;682
1787;387
844;29
1629;160
1969;160
1971;45
1634;45
1689;20
1687;304
1642;555
1640;163
1647;256
1648;42
1638;541
1897;541
805;541
1650;684
1644;486
1702;596
1704;176
1698;513
1705;513
1697;26
1707;26
1699;26
1107;212
1102;517
1582;652
1651;287
830;226
832;372
1657;180
1666;180
831;159
1667;1
833;692
851;151
1691;654
1583;457
1692;671
1654;479
820;530
311;311
829;225
1104;533
601;190
600;54
602;99
428;114
1659;699
1771;358
1834;142
403;142
423;529
420;529
421;437
5;6
1231;314
1555;186
1547;713
840;658
713;229
1953;229
704;51
714;490
709;284
700;348
708;69
1887;104
1892;462
1286;452
1889;452
712;452
711;65
703;82
707;524
1268;542
1868;650
1505;444
848;230
802;703
1293;693
801;497
1652;497
1564;700
710;220
1693;13
1682;627
170;491
101;491
143;662
123;506
127;375
161;663
125;12
148;535
1759;421
150;407
115;131
169;131
163;131
108;543
104;103
118;532
124;313
160;67
1847;492
117;559
162;164
109;300
120;420
122;390
107;110
1206;156
156;583
200;343
207;130
705;37
1298;367
1201;120
106;175
177;600
136;401
119;31
2033;31
135;196
1767;691
1925;622
1216;572
1271;172
1274;227
1803;217
1219;16
1926;16
1221;241
1856;481
1870;346
1608;679
1228;536
1234;511
1782;283
1503;283
178;80
171;449
1244;587
1912;426
1239;243
114;98
1214;124
1215;324
1558;88
1554;88
410;561
418;705
1922;285
1878;472
400;298
1660;298
404;237
1876;707
409;59
310;427
1877;345
425;445
1812;315
111;571
144;187
1569;187
129;66
153;299
132;305
505;704
134;710
168;675
142;478
1213;510
139;510
1914;510
141;706
1289;677
151;429
121;52
159;140
105;359
166;331
116;152
1252;538
701;538
158;590
1901;507
145;546
1260;546
146;476
212;448
1561;448
201;523
1591;603
226;17
209;128
1256;128
167;562
1275;109
1908;109
517;695
1251;660
147;271
138;509
208;376
1769;629
2013;254
1676;254
304;394
1504;15
1601;262
176;531
1960;531
175;112
179;149
113;118
1806;329
1521;339
846;339
826;236
827;581
1827;584
1906;379
501;269
1789;645
516;246
130;39
309;137
1321;316
1101;501
1775;70
1308;565
1309;28
1772;64
1668;453
1108;458
842;392
1881;5
1261;467
828;193
1266;193
1307;167
845;258
1541;382
1225;30
1913;106
1842;106
1258;199
839;454
1919;454
1106;81
1880;356
852;415
1105;171
1669;35
1836;341
1306;330
906;471
1710;471
10;592
1276;19
3;223
1899;309
1506;351
9;441
1874;204
4;204
1816;204
2;585
1672;655
1799;117
1802;117
1670;166
7;144
100;602
841;133
1846;219
1885;575
1871;575
1226;46
316;317
902;18
1645;550
1646;550
1649;666
1641;425
1643;146
1322;73
519;50
1635;263
1968;263
1628;247
1964;247
1631;674
1633;75
1972;75
1777;336
515;464
1335;365
808;148
1701;139
1700;139
1695;474
1703;435
1723;482
1678;493
1677;493
813;417
835;591
1788;318
804;516
1898;288
1903;558
901;102
900;700
819;249
821;249
12;436
847;360
809;244
1721;244
1724;122
1864;539
1756;512
1294;357
1829;701
1664;27
422;27
437;529
427;480
1821;253
1911;406
1257;328
1837;322
1532;337
1714;685
202;181
1249;686
315;206
1852;628
1879;553
1568;373
1218;498
823;714
836;498
1269;273
1661;127
834;320
1593;397
1655;450
1546;232
411;411
402;411
1875;89
1502;526
1581;575
1768;575
1753;575
1886;626
1576;295
149;508
103;508
1103;277
1706;560
1205;79
1204;79
431;203
406;203
419;24
1694;251
1567;153
1313;95
1674;303
424;91
518;665
435;87
1255;282
1681;218
430;537
1210;473
1952;653
1233;323
1656;178
1828;57
1241;210
1776;673
1810;623
1290;396
1794;514
1893;383
1905;383
1895;383
1896;659
2022;62
432;302
818;451
1637;451
838;451
1973;451
1653;557
812;395
811;694
1004;294
806;182
1872;518
1619;385
1262;385
1000;214
1003;349
1224;422
800;557
1848;557
1831;310
426;683
1713;169
305;169
321;169
1764;169
318;169
1862;708
1766;134
1824;601
512;231
1246;119
1711;416
1208;44
128;154
133;32
1815;9
1867;670
1770;670
1760;688
1763;657
1795;681
1954;644
401;604
1310;
1758;409
1243;489
218;588
1284;588
1915;504
1765;23
1813;228
